,Hour,VehicleRef,RecordedAtTime,VehicleLocation.Latitude,VehicleLocation.Longitude
85,1,NYCT_3818,2017-06-01 00:52:54,40.75683,-73.963454
86,1,NYCT_3823,2017-06-01 00:13:28,40.757643,-73.96046700000001
87,1,NYCT_3825,2017-06-01 00:53:03,40.758542,-73.96348
88,1,NYCT_3826,2017-06-01 00:52:57,40.765311,-73.979543
89,1,NYCT_3831,2017-06-01 00:13:36,40.812311,-73.936603
90,1,NYCT_3849,2017-06-01 00:23:30,40.821405,-73.946017
91,1,NYCT_3853,2017-06-01 00:43:22,40.814170000000004,-73.955687
92,1,NYCT_386,2017-06-01 00:53:09,40.617757,-74.029421
93,1,NYCT_3867,2017-06-01 00:23:53,40.831588,-73.946682
94,1,NYCT_3870,2017-06-01 00:53:10,40.809228000000004,-73.948033
95,1,NYCT_3874,2017-06-01 00:53:10,40.797272,-73.960593
96,1,NYCT_3875,2017-06-01 00:53:07,40.822179999999996,-73.95365699999999
97,1,NYCT_3877,2017-06-01 00:03:35,40.824557,-73.951819
98,1,NYCT_3886,2017-06-01 00:53:10,40.737446000000006,-73.996775
99,1,NYCT_3887,2017-06-01 00:53:22,40.771782,-73.98207099999999
100,1,NYCT_3888,2017-06-01 00:43:35,40.815907,-73.93944599999999
101,1,NYCT_3890,2017-06-01 00:53:10,40.813288,-73.94136
102,1,NYCT_3892,2017-06-01 00:53:16,40.737446000000006,-73.996775
103,1,NYCT_3898,2017-06-01 00:53:15,40.787178999999995,-73.97166899999999
104,1,NYCT_3898,2017-06-01 00:53:15,40.787178999999995,-73.97166899999999
105,1,NYCT_390,2017-06-01 00:13:33,40.608325,-74.022366
106,1,NYCT_391,2017-06-01 00:33:35,40.634554,-74.010535
107,1,NYCT_3921,2017-06-01 00:53:04,40.753344,-73.96685699999999
108,1,NYCT_3922,2017-06-01 00:52:18,40.779073,-73.985013
109,1,NYCT_3925,2017-06-01 00:53:03,40.735624,-74.005995
110,1,NYCT_3931,2017-06-01 00:53:05,40.751367,-73.97587299999999
111,1,NYCT_3935,2017-06-01 00:53:16,40.768253,-73.992502
112,1,NYCT_3946,2017-06-01 00:43:31,40.81987,-73.946727
113,1,NYCT_3948,2017-06-01 00:53:10,40.782866,-73.98074799999999
114,1,NYCT_3955,2017-06-01 00:33:52,40.837773,-73.938077
115,1,NYCT_3964,2017-06-01 00:53:15,40.703727,-73.823065
116,1,NYCT_3965,2017-06-01 00:53:13,40.693217,-73.972062
117,1,NYCT_3966,2017-06-01 00:53:02,40.683653,-73.911389
118,1,NYCT_3971,2017-06-01 00:23:29,40.697013,-73.914682
119,1,NYCT_398,2017-06-01 00:53:01,40.63811,-74.01759200000001
120,1,NYCT_398,2017-06-01 00:53:01,40.63811,-74.01759200000001
121,1,NYCT_3980,2017-06-01 00:52:58,40.706899,-73.91460699999999
122,1,NYCT_3981,2017-06-01 00:53:09,40.668523,-73.917259
123,1,NYCT_3984,2017-06-01 00:53:07,40.743864,-73.856859
124,1,NYCT_3988,2017-06-01 00:53:01,40.701856,-73.805686
125,1,NYCT_399,2017-06-01 00:53:14,40.655955,-73.91285
126,1,NYCT_399,2017-06-01 00:53:14,40.655955,-73.91285
127,1,NYCT_3995,2017-06-01 00:53:06,40.693625,-73.987227
128,1,NYCT_3998,2017-06-01 00:53:03,40.755308,-73.886271
129,1,NYCT_4006,2017-06-01 00:53:04,40.600527,-74.177233
130,1,NYCT_402,2017-06-01 00:03:41,40.62164,-74.026087
131,1,NYCT_404,2017-06-01 00:43:18,40.647176,-73.99714300000001
132,1,NYCT_4045,2017-06-01 00:23:47,40.710985,-73.95081
133,1,NYCT_4048,2017-06-01 00:53:09,40.696391,-73.96395600000001
134,1,NYCT_4055,2017-06-01 00:53:16,40.616688,-74.156562
135,1,NYCT_4062,2017-06-01 00:53:06,40.690802000000005,-73.985708
136,1,NYCT_4064,2017-06-01 00:43:12,40.710978000000004,-73.950886
137,1,NYCT_4066,2017-06-01 00:53:10,40.902645,-73.868325
138,1,NYCT_4074,2017-06-01 00:43:39,40.865419,-73.893301
139,1,NYCT_4075,2017-06-01 00:53:16,40.877689000000004,-73.828076
140,1,NYCT_4081,2017-06-01 00:43:28,40.86503,-73.824003
141,1,NYCT_4085,2017-06-01 00:53:08,40.877146999999994,-73.879746
142,1,NYCT_4089,2017-06-01 00:53:02,40.853946,-73.838626
143,1,NYCT_4092,2017-06-01 00:03:31,40.860895,-73.822711
144,1,NYCT_4113,2017-06-01 00:52:53,40.665890999999995,-73.864583
145,1,NYCT_4114,2017-06-01 00:23:39,40.726335999999996,-73.936897
146,1,NYCT_4115,2017-06-01 00:53:22,40.779959999999996,-73.944849
147,1,NYCT_4116,2017-06-01 00:53:19,40.755308,-73.886271
148,1,NYCT_4122,2017-06-01 00:53:08,40.762223999999996,-74.000887
149,1,NYCT_4123,2017-06-01 00:53:09,40.724753,-73.974882
150,1,NYCT_4127,2017-06-01 00:13:38,40.765513,-73.742355
151,1,NYCT_413,2017-06-01 00:53:20,40.646927000000005,-73.969471
152,1,NYCT_4131,2017-06-01 00:23:51,40.759570000000004,-73.830123
153,1,NYCT_4137,2017-06-01 00:13:36,40.886515,-73.8778
154,1,NYCT_4138,2017-06-01 00:23:34,40.714246,-73.960669
155,1,NYCT_4139,2017-06-01 00:53:02,40.71562,-73.964106
156,1,NYCT_417,2017-06-01 00:53:00,40.638546000000005,-73.949263
157,1,NYCT_4177,2017-06-01 00:52:51,40.770851,-73.821696
158,1,NYCT_4185,2017-06-01 00:53:02,40.757571999999996,-73.86095300000001
159,1,NYCT_4188,2017-06-01 00:23:29,40.750751,-73.858779
160,1,NYCT_4189,2017-06-01 00:52:55,40.757523,-73.837383
161,1,NYCT_4194,2017-06-01 00:52:57,40.771576,-73.81281
162,1,NYCT_4206,2017-06-01 00:13:38,40.781687,-73.84458599999999
163,1,NYCT_4210,2017-06-01 00:13:25,40.702284000000006,-73.8039
164,1,NYCT_4217,2017-06-01 00:33:43,40.78165,-73.836239
165,1,NYCT_4219,2017-06-01 00:33:52,40.760670000000005,-73.806136
166,1,NYCT_422,2017-06-01 00:43:32,40.653701,-73.961692
167,1,NYCT_4223,2017-06-01 00:33:39,40.880232,-73.90734300000001
168,1,NYCT_4225,2017-06-01 00:53:09,40.881992,-73.898542
169,1,NYCT_423,2017-06-01 00:13:42,40.655155,-74.010297
170,1,NYCT_4233,2017-06-01 00:52:53,40.671075,-73.950388
171,1,NYCT_4236,2017-06-01 00:13:40,40.618061,-73.931877
172,1,NYCT_4237,2017-06-01 00:03:41,40.618623,-73.926843
173,1,NYCT_4243,2017-06-01 00:53:15,40.677184999999994,-73.930329
174,1,NYCT_4244,2017-06-01 00:53:18,40.669267,-73.862996
175,1,NYCT_4245,2017-06-01 00:43:31,40.568908,-74.111414
176,1,NYCT_4252,2017-06-01 00:13:48,40.544067999999996,-74.165079
177,1,NYCT_4258,2017-06-01 00:03:46,40.565523,-74.169632
178,1,NYCT_4277,2017-06-01 00:23:54,40.566699,-74.11366600000001
179,1,NYCT_430,2017-06-01 00:33:52,40.656027,-73.90895400000001
180,1,NYCT_433,2017-06-01 00:03:36,40.671009000000005,-73.990098
181,1,NYCT_4331,2017-06-01 00:52:53,40.744525,-73.948815
182,1,NYCT_4336,2017-06-01 00:52:57,40.845708,-73.922075
183,1,NYCT_4338,2017-06-01 00:33:27,40.879876,-73.823521
184,1,NYCT_4344,2017-06-01 00:23:29,40.883047,-73.907997
185,1,NYCT_4356,2017-06-01 00:53:20,40.824019,-73.948493
186,1,NYCT_4358,2017-06-01 00:52:58,40.879121999999995,-73.905201
187,1,NYCT_4365,2017-06-01 00:53:07,40.912351,-73.902621
188,1,NYCT_4368,2017-06-01 00:53:20,40.806662,-73.942851
189,1,NYCT_4374,2017-06-01 00:53:17,40.846913,-73.938232
190,1,NYCT_4376,2017-06-01 00:13:51,40.866471000000004,-73.917457
191,1,NYCT_438,2017-06-01 00:53:13,40.698622,-73.944028
192,1,NYCT_4380,2017-06-01 00:43:11,40.889196000000005,-73.908441
193,1,NYCT_4392,2017-06-01 00:23:47,40.860529,-73.93083
194,1,NYCT_4394,2017-06-01 00:53:05,40.850003,-73.93587099999999
195,1,NYCT_4404,2017-06-01 00:33:25,40.880413,-73.87871
196,1,NYCT_4405,2017-06-01 00:53:14,40.848621,-73.932068
197,1,NYCT_4406,2017-06-01 00:53:12,40.884554,-73.893854
198,1,NYCT_4415,2017-06-01 00:53:11,40.877584999999996,-73.829527
199,1,NYCT_4416,2017-06-01 00:43:25,40.875146,-73.879479
200,1,NYCT_4423,2017-06-01 00:33:34,40.865947999999996,-73.82634399999999
201,1,NYCT_4425,2017-06-01 00:13:30,40.715412,-73.91261899999999
202,1,NYCT_4429,2017-06-01 00:13:44,40.708505,-73.95785500000001
203,1,NYCT_4431,2017-06-01 00:43:39,40.710648,-73.966767
204,1,NYCT_4432,2017-06-01 00:33:47,40.708944,-73.898387
205,1,NYCT_4435,2017-06-01 00:53:05,40.700838,-73.910889
206,1,NYCT_4437,2017-06-01 00:43:25,40.703045,-73.895363
207,1,NYCT_4439,2017-06-01 00:53:11,40.622256,-73.917549
208,1,NYCT_4440,2017-06-01 00:13:26,40.702875,-73.920641
209,1,NYCT_4447,2017-06-01 00:23:30,40.699131,-73.915236
210,1,NYCT_4448,2017-06-01 00:23:44,40.700424,-73.90473
211,1,NYCT_4449,2017-06-01 00:52:51,40.691654,-73.987335
212,1,NYCT_445,2017-06-01 00:53:14,40.604927,-73.986815
213,1,NYCT_4451,2017-06-01 00:33:33,40.695285999999996,-73.900813
214,1,NYCT_4452,2017-06-01 00:52:51,40.692465000000006,-73.990445
215,1,NYCT_4457,2017-06-01 00:53:10,40.761804999999995,-73.974814
216,1,NYCT_4459,2017-06-01 00:52:43,40.790744000000004,-73.781616
217,1,NYCT_446,2017-06-01 00:23:54,40.616642999999996,-74.030375
218,1,NYCT_4461,2017-06-01 00:52:52,40.760616,-73.828725
219,1,NYCT_4471,2017-06-01 00:52:54,40.794086,-73.798888
220,1,NYCT_449,2017-06-01 00:43:20,40.649389,-73.916533
221,1,NYCT_450,2017-06-01 00:43:38,40.649223,-74.000527
222,1,NYCT_451,2017-06-01 00:52:55,40.630556,-74.009337
223,1,NYCT_4517,2017-06-01 00:52:53,40.702927,-73.858333
224,1,NYCT_4525,2017-06-01 00:52:19,40.694534999999995,-73.989046
225,1,NYCT_453,2017-06-01 00:53:05,40.598312,-73.961185
226,1,NYCT_453,2017-06-01 00:53:05,40.598312,-73.961185
227,1,NYCT_4532,2017-06-01 00:53:20,40.685987,-73.952578
228,1,NYCT_4548,2017-06-01 00:03:41,40.743762,-73.950284
229,1,NYCT_4556,2017-06-01 00:13:33,40.7094,-73.959978
230,1,NYCT_4560,2017-06-01 00:53:04,40.70987,-73.955551
231,1,NYCT_4564,2017-06-01 00:53:02,40.688241999999995,-73.965523
232,1,NYCT_4565,2017-06-01 00:53:00,40.747031,-73.942614
233,1,NYCT_4571,2017-06-01 00:53:13,40.706902,-73.94766700000001
234,1,NYCT_4574,2017-06-01 00:53:17,40.70599,-73.95121800000001
235,1,NYCT_4575,2017-06-01 00:53:11,40.709056,-73.959471
236,1,NYCT_4590,2017-06-01 00:53:15,40.577308,-73.94849
237,1,NYCT_4591,2017-06-01 00:53:08,40.628032,-73.947112
238,1,NYCT_4592,2017-06-01 00:53:13,40.701112,-73.942562
239,1,NYCT_4595,2017-06-01 00:53:05,40.687633,-73.980591
240,1,NYCT_4598,2017-06-01 00:23:43,40.598362,-73.94149200000001
241,1,NYCT_4601,2017-06-01 00:33:36,40.627099,-73.92775300000001
242,1,NYCT_4602,2017-06-01 00:23:26,40.614758,-73.928189
243,1,NYCT_4603,2017-06-01 00:52:56,40.64785,-73.929964
244,1,NYCT_4604,2017-06-01 00:23:26,40.586314,-73.952176
245,1,NYCT_4608,2017-06-01 00:23:48,40.585467,-73.931383
246,1,NYCT_4611,2017-06-01 00:53:16,40.60864,-73.954702
